chr1,base1,strand1,chr2,base2,strand2,junction_type,read_name
chr22,16808087,+,chr9,131198976,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:118:5285:6895
chrM,8456,-,chrM,13710,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:105:18049:7282
chrM,5317,-,chrM,6515,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:28:10217:1181
chrM,15663,+,chrM,8643,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:28:12632:19115
chrM,1994,-,chrM,12628,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:80:18110:16995
chrM,8927,-,chrM,13940,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:28:17640:7561
chrM,10738,-,chrM,14054,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:93:16401:7629
chr22,16808084,+,chr9,131199016,-,2,61PKHAAXX_HWUSI-EAS627_0007:4:70:6310:17370
chr6,31865785,+,chr6,31651655,+,2,61PKHAAXX_HWUSI-EAS627_0007:4:29:5507:15151
chr22,23290414,+,chr9,130854063,+,1,61PKHAAXX_HWUSI-EAS627_0007:4:29:8443:10873
chrM,7812,-,chr7,128865591,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:61:2264:7317
chr22,23290386,+,chr9,130854060,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:119:4609:9916
chr6,31865788,+,chr6,31651694,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:86:14069:998
chrM,13944,+,chrM,9578,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:83:1530:6716
chrM,8620,-,chrM,12921,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:30:1609:12646
chrM,8365,-,chrM,8762,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:30:2394:3280
chr22,23290414,+,chr9,130854063,+,1,61PKHAAXX_HWUSI-EAS627_0007:4:30:3691:9165
chrM,13819,+,chrM,11985,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:67:6709:6960
chrM,11050,+,chrM,8660,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:105:4393:12147
chr7,111769678,+,chr7,111487276,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:30:10581:15438
chr9,130854074,-,chr22,23290367,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:31:2864:19282
chr9,130854063,-,chr22,23290386,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:71:16527:18235
chrM,8927,-,chrM,13940,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:106:16761:3643
chr6,31865759,+,chr6,31651646,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:103:10891:18744
chrM,13944,+,chrM,9578,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:81:17279:20330
chrM,1685,-,chrM,15321,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:31:7450:5813
chrM,2412,-,chrM,14023,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:69:14938:4872
chr9,130854063,-,chr22,23290414,-,2,61PKHAAXX_HWUSI-EAS627_0007:4:31:10310:21012
chrM,13832,+,chrM,9093,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:74:17990:20834
chrM,13963,+,chrM,9596,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:79:13304:16350
chr22,16808084,+,chr9,131199016,-,2,61PKHAAXX_HWUSI-EAS627_0007:4:81:5789:11128
chrM,1726,-,chr12,49127999,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:32:3276:14597
chrM,12966,+,chrM,1684,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:108:12264:9875
chr9,130854063,-,chr22,23290414,-,2,61PKHAAXX_HWUSI-EAS627_0007:4:108:17870:20649
chrM,8926,-,chr19,3979344,+,1,61PKHAAXX_HWUSI-EAS627_0007:4:86:16855:17263
chrM,8699,-,chrM,14029,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:86:17229:3132
chrM,8452,-,chrM,8664,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:104:15829:6574
chrM,1685,-,chr12,49128082,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:32:13737:16311
chrM,11967,+,chrM,8686,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:94:7184:1461
chrM,2327,-,chrM,13537,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:32:15144:1849
chr6,31651655,-,chr6,31865785,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:32:17118:1896
chrM,6518,+,chrM,5320,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:32:17840:13415
chrM,11229,-,KI270733.1,133931,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:73:11745:19684
chr1,28508161,+,chr5,139600371,+,1,61PKHAAXX_HWUSI-EAS627_0007:4:33:7194:9593
chrM,1817,-,chrM,6855,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:33:7596:1314
chr19,3979376,-,chrM,8935,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:33:9648:20926
chr6,31865755,+,chr6,31651655,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:99:5985:2781
chr22,23290414,+,chr9,130854063,+,1,61PKHAAXX_HWUSI-EAS627_0007:4:33:10379:16673
chrM,13449,+,chrM,8471,+,2,61PKHAAXX_HWUSI-EAS627_0007:4:79:18776:17761
chrM,13176,+,chrM,8456,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:33:13595:19041
chr9,130854063,-,chr22,23290414,-,2,61PKHAAXX_HWUSI-EAS627_0007:4:95:4480:3235
chr22,23290393,+,chr9,130854084,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:68:17110:19740
chr12,49128143,+,chrM,3072,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:33:17469:3860
chrM,1684,-,chrM,14020,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:76:14183:5967
chr7,111769678,+,chr7,111487237,+,2,61PKHAAXX_HWUSI-EAS627_0007:4:33:17896:17981
chr22,23290414,+,chr9,130854063,+,1,61PKHAAXX_HWUSI-EAS627_0007:4:61:11887:11539
chr22,16808087,+,chr9,131198973,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:91:1909:5309
chrM,5297,-,chr3,47610107,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:88:17616:14887
chrM,10710,-,chrM,12562,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:75:14132:11045
chrM,8927,-,chrM,13940,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:73:9758:5009
chr6,31651655,-,chr6,31865785,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:34:4274:1484
chrM,11880,-,chrM,12957,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:115:11917:16316
chr22,16808084,+,chr9,131199016,-,2,61PKHAAXX_HWUSI-EAS627_0007:4:34:6960:13498
chr9,130854063,-,chr22,23290414,-,2,61PKHAAXX_HWUSI-EAS627_0007:4:79:9981:4729
chrM,2245,-,chrM,6830,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:58:14612:8807
chrM,6517,-,chrM,13514,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:34:7599:7582
chrM,13944,+,chrM,9578,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:34:13387:1193
chrM,5336,-,chrM,7218,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:34:13469:7695
chr9,131199016,+,chr22,16808084,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:34:15396:14328
chr19,58549085,+,chr1,633978,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:34:17585:13578
chr22,23290386,+,chr9,130854089,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:34:19776:14761
chrM,1675,-,chrM,12957,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:84:11085:15289
chr19,55386626,+,chrM,11262,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:74:1413:11319
chrM,2293,-,chrM,12838,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:87:12222:6039
chrM,11972,+,chrM,8861,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:112:2119:5955
chr6,31651655,-,chr6,31865785,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:35:9177:11520
chrM,9151,+,chrM,5291,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:61:9676:3235
chrM,15876,+,chrM,8461,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:35:15358:3536
chr6,31865785,+,chr6,31651655,+,2,61PKHAAXX_HWUSI-EAS627_0007:4:64:13929:10063
chrM,12009,-,chrM,14089,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:91:11862:12256
chrM,5349,-,chrM,13925,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:36:10380:10973
chrM,13600,+,chrM,11962,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:56:5203:3984
chrM,9198,+,chrM,5076,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:76:6101:2345
chr9,130854065,-,chr22,23290379,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:75:5546:13316
chrM,8927,-,chrM,13940,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:37:1985:11087
chrM,1684,-,chr19,48615878,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:37:6954:12468
chrM,8370,-,chrM,8724,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:69:17836:14989
chrM,13944,+,chrM,9578,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:37:14721:10373
chrM,6571,+,chrM,5395,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:37:16164:8062
chrM,11332,-,chrM,12528,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:37:18837:12592
chrM,8939,-,chrM,13971,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:97:5810:3755
chrM,4907,-,chrM,14142,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:38:1754:8186
chrM,8503,-,chrM,10923,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:38:1775:4955
chrM,12576,+,chrM,12013,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:75:4116:10991
chrM,8372,-,chrM,13951,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:72:6337:10515
chrM,13916,+,chrM,9564,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:38:9685:14343
chrM,6518,+,chrM,5320,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:56:17747:14583
chr9,130854063,-,chr22,23290376,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:38:14303:4292
chrM,6485,+,chrM,5292,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:38:14535:19605
chrM,5073,-,chrM,13785,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:38:17451:2796
chrM,8385,-,chrM,9190,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:38:18798:17611
chrM,14001,+,chrM,8986,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:38:19279:11292
chrM,6395,-,chrM,9103,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:38:19639:18903
chrM,10998,-,chrM,13028,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:39:2673:8175
chrM,15597,+,chrM,8604,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:39:4189:14519
chr6,31865785,+,chr6,31651655,+,2,61PKHAAXX_HWUSI-EAS627_0007:4:99:7116:19901
chrM,11301,+,chrM,8479,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:39:9455:4923
chr1,634742,-,chr20,62139803,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:102:13339:13982
chr6,31651655,-,chr6,31865785,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:39:14115:8495
chr9,130854063,-,chr22,23290414,-,2,61PKHAAXX_HWUSI-EAS627_0007:4:39:17667:8635
chrX,113938192,-,chrX,115163751,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:39:18047:4072
chrM,12532,+,chrM,6351,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:101:4764:16379
chr9,130854085,-,chr22,23290407,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:74:18042:6876
chrM,8592,-,chrM,15475,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:92:5965:15006
chrM,5329,-,chrM,13989,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:87:14257:8567
chrM,9574,-,chr20,62139802,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:94:9894:13370
chrM,8927,-,chrM,13940,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:40:14348:3006
chrM,12952,+,chrM,1670,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:40:18125:8067
chr16,46693092,-,chr16,46824385,+,2,61PKHAAXX_HWUSI-EAS627_0007:4:41:3296:18575
chr8,144791294,-,chrM,8449,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:91:8235:8347
chrM,5335,-,chrM,14048,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:41:6179:7541
chrM,11228,-,chrM,13590,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:41:6922:4400
chrM,5349,-,chrM,13925,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:41:7610:13600
chrM,8450,-,chrM,14106,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:68:13992:1461
chrM,10762,-,chrM,13800,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:41:13123:8790
chrM,9423,-,chrM,14056,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:83:13740:15596
chr6,31651655,-,chr6,31865785,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:41:14678:17229
chr16,46824385,-,chr16,46695561,+,1,61PKHAAXX_HWUSI-EAS627_0007:4:83:15520:11503
chrM,14138,+,chrM,11536,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:41:18893:3224
chr22,23290388,+,chr9,130854080,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:107:14253:5350
chr22,16808084,+,chr9,131199016,-,2,61PKHAAXX_HWUSI-EAS627_0007:4:59:7295:17708
chrM,5348,-,chrM,8644,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:102:4546:17430
chr7,111487237,-,chr7,111769678,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:85:3197:15141
chrM,5240,-,chrM,8995,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:42:16347:19153
chrM,5291,-,chrM,14030,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:42:17199:11622
chrM,7109,-,chrM,14019,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:110:10326:16344
chrM,2216,-,chr12,49127985,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:43:4585:5918
chrM,12026,-,chr4,24576491,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:43:5349:11608
chrM,2297,-,chrM,13605,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:92:15814:5551
chrM,1685,-,chrM,15321,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:114:5993:2115
chrM,2259,-,chr22,36511751,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:73:11848:12682
chrM,12932,+,chrM,8604,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:89:5111:4265
chrM,14004,+,chrM,6340,+,2,61PKHAAXX_HWUSI-EAS627_0007:4:43:13091:12895
chrM,11232,-,chrM,13590,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:43:14993:5121
chrM,14063,+,chrM,5397,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:43:17585:20469
chr6,31865785,+,chr6,31651655,+,2,61PKHAAXX_HWUSI-EAS627_0007:4:43:18260:4509
chrM,14015,+,chrM,7140,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:61:14120:17530
chrM,1716,-,chrM,15315,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:79:6491:4982
chrX,113938192,-,chrX,115163784,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:118:15807:20534
chrM,8623,-,chrM,15663,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:44:8240:20910
chr22,23290414,+,chr9,130854063,+,1,61PKHAAXX_HWUSI-EAS627_0007:4:44:12028:15118
chrM,8947,+,chrM,5329,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:98:13979:9150
chrM,12024,-,chr4,24576491,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:107:11853:2390
chr6,31651655,-,chr6,31865785,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:87:11641:13970
chrM,1682,-,chr16,400406,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:62:8648:10121
chrM,13613,+,chrM,11311,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:45:2483:16840
chr8,144791348,-,chrM,8486,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:45:2560:2605
chrM,1673,-,chrM,13959,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:112:13565:4707
chr1,36462136,-,chrM,9215,+,2,61PKHAAXX_HWUSI-EAS627_0007:4:111:7869:10045
chrM,13963,+,chrM,9596,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:45:7775:8867
chrM,5349,-,chrM,13925,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:45:9246:13792
chrM,8687,+,chrM,8424,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:45:9471:17144
chr9,130854072,-,chr22,23290393,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:102:14766:3419
chr19,58549085,+,chr1,633978,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:45:13800:18928
chrM,11963,-,chrM,13565,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:46:2665:3280
chr9,130854063,-,chr22,23290414,-,2,61PKHAAXX_HWUSI-EAS627_0007:4:46:3460:6249
chrM,8708,+,chrM,8450,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:46:4206:16739
chrM,9576,-,chrM,13942,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:46:6783:20616
chrM,1682,-,chrM,12555,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:46:10883:11557
chrM,12969,+,chrM,1688,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:46:12923:7013
chr19,55386626,+,chrM,11262,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:46:16045:16256
chrM,2288,-,chrM,13363,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:106:6234:13230
chrM,2259,-,chr22,36511751,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:74:18564:6883
chrM,8927,-,chr19,48615878,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:120:16063:19060
chrM,6338,-,chrM,14029,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:78:5700:9097
chrM,8423,-,chrM,13510,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:78:11212:11387
chr9,130854063,-,chr22,23290414,-,2,61PKHAAXX_HWUSI-EAS627_0007:4:47:2450:16750
chrM,1716,-,chrM,8644,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:69:5833:9332
chrM,8456,-,chrM,8655,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:47:7131:19013
chr9,131199016,+,chr22,16808059,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:108:7297:3125
chrM,14075,+,chrM,8502,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:47:14946:2622
chrM,8365,-,chrM,8762,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:90:18640:964
chrM,10842,-,chrM,13250,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:63:2733:14146
chrM,13870,+,chrM,8491,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:55:15992:6313
chrM,2401,-,chrM,14065,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:48:8844:9284
chrM,9571,-,chrM,13935,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:48:14134:2294
chrM,11984,+,chrM,8517,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:95:2875:2850
chrM,8365,-,chrM,8762,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:48:16576:3673
chrM,5271,-,chrM,8581,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:101:12014:18732
chrM,12430,+,chrM,2247,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:120:15338:21249
chrM,2295,-,chr12,49128002,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:63:2599:8895
chrM,7141,-,chrM,13988,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:49:6289:20963
chrM,14120,+,chrM,8449,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:49:7692:11330
chrM,2259,-,chr22,36511751,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:81:15534:12298
chr6,31865783,+,chr6,31651692,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:94:9735:9669
chrM,14053,+,chrM,5330,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:76:4193:9031
chrM,10748,-,chrM,13888,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:49:17333:12138
chrM,13978,+,chrM,7130,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:79:7004:9878
chrM,8623,-,chrM,15663,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:77:6214:18892
chr5,139600371,-,chr1,28508161,-,2,61PKHAAXX_HWUSI-EAS627_0007:4:64:6188:16959
chrM,9424,-,chrM,14040,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:50:12523:11255
chrM,8677,+,chrM,8412,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:72:14786:14723
chrM,9573,-,chr20,62139803,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:118:18467:8303
chrM,12943,+,chrM,8374,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:51:2982:1789
chrM,9572,-,chrM,13039,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:51:5481:5513
chr9,131199004,+,chr22,16808069,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:99:17796:14284
chr22,23290414,+,chr9,130854063,+,1,61PKHAAXX_HWUSI-EAS627_0007:4:85:12258:19800
chrM,5297,-,chr3,47610107,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:85:18784:16128
chrM,6946,+,chrM,2624,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:52:8062:6591
chrM,14010,+,chrM,10986,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:52:8626:11918
chr19,58549091,+,chr1,633979,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:53:3432:16627
chrM,8409,-,chrM,14120,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:53:7537:20389
chrM,12944,+,chrM,5324,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:53:8311:11611
chr6,31865785,+,chr6,31651655,+,2,61PKHAAXX_HWUSI-EAS627_0007:4:64:7750:15757
chr6,31865741,+,chr6,31651668,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:53:13700:19493
chr19,3976236,-,chrM,8460,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:53:13863:6445
chrM,6542,-,chr17,41689047,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:70:13238:17617
chr9,130854077,-,chr22,23290393,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:54:2989:9369
chr6,31865785,+,chr6,31651655,+,2,61PKHAAXX_HWUSI-EAS627_0007:4:105:7786:15316
chrM,5403,-,chrM,13936,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:54:4509:16905
chrM,5302,-,chrM,8678,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:108:9614:16110
chrM,1680,-,chrM,13974,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:62:9490:16458
chrM,8723,+,chrM,8371,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:54:6735:5794
chrM,8461,-,chrM,14016,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:54:7525:12663
chrM,6476,-,chrM,14142,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:54:8697:20248
chr6,31865785,+,chr6,31651655,+,2,61PKHAAXX_HWUSI-EAS627_0007:4:99:6643:12003
chr12,49128084,+,chrM,1687,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:68:18791:21169
chrM,5290,-,chr12,6537199,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:88:16145:9650
chr9,130854063,-,chr22,23290414,-,2,61PKHAAXX_HWUSI-EAS627_0007:4:54:15966:18425
chr9,127445106,-,chr17,76167015,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:54:18088:15097
chrM,10975,-,chrM,13989,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:92:17182:5907
chrM,13031,+,chrM,11984,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:56:12393:10402
chrM,13954,+,chrM,9588,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:55:4690:20782
chrM,13974,+,chrM,10979,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:55:4768:6639
chr9,130854077,-,chr22,23290389,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:88:19596:13738
